sentence,word,string,reversed_sentence,mod_np,reversed_mod,disambiguating_word,non_adjective,original_logprob,reversed_logprob,ratio,n_params,mpath,revision,seed_name,seed,step
They liked the marinated lamb.,lamb,lamb,They liked the lamb marinated., marinated lamb, lamb marinated,marinated,True,-24.568187713623047,-23.356863021850586,-1.211324691772461,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
They liked the grilled lamb.,lamb,lamb,They liked the lamb grilled., grilled lamb, lamb grilled,grilled,False,-14.86819076538086,-18.734107971191406,3.865917205810547,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
They liked the cute lamb.,lamb,lamb,They liked the lamb cute., cute lamb, lamb cute,cute,False,-17.291213989257812,-19.64578628540039,2.354572296142578,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
She had curly locks.,lock,locks,She had locks curly., curly locks, locks curly,curly,False,-20.46445655822754,-26.571792602539062,6.107336044311523,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
She had brown locks.,lock,locks,She had locks brown., brown locks, locks brown,brown,False,-19.885189056396484,-24.59629249572754,4.711103439331055,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
She had window locks.,lock,locks,She had locks window., window locks, locks window,window,True,-23.367828369140625,-24.59737777709961,1.2295494079589844,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
They liked the hot lunch.,lunch,lunch,They liked the lunch hot., hot lunch, lunch hot,hot,False,-13.987438201904297,-17.8583984375,3.870960235595703,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
They liked the sandwich lunch.,lunch,lunch,They liked the lunch sandwich., sandwich lunch, lunch sandwich,sandwich,True,-16.59039306640625,-15.696056365966797,-0.8943367004394531,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
They liked the afternoon lunch.,lunch,lunch,They liked the lunch afternoon., afternoon lunch, lunch afternoon,afternoon,True,-14.081491470336914,-17.735618591308594,3.6541271209716797,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He liked the flea market.,market,market,He liked the market flea., flea market, market flea,flea,True,-23.592876434326172,-26.053457260131836,2.460580825805664,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He liked the fish market.,market,market,He liked the market fish., fish market, market fish,fish,True,-15.73409652709961,-18.704051971435547,2.9699554443359375,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He liked the housing market.,market,market,He liked the market housing., housing market, market housing,housing,True,-15.27985954284668,-18.57047462463379,3.2906150817871094,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a lit match.,match,match,It was a match lit., lit match, match lit,lit,False,-19.616615295410156,-19.7635555267334,0.1469402313232422,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a burning match.,match,match,It was a match burning., burning match, match burning,burning,False,-18.066848754882812,-19.89213752746582,1.8252887725830078,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a soccer match.,match,match,It was a match soccer., soccer match, match soccer,soccer,True,-17.627479553222656,-21.294925689697266,3.6674461364746094,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was cough medicine.,medicine,medicine,It was medicine cough., cough medicine, medicine cough,cough,True,-24.95116424560547,-23.689289093017578,-1.2618751525878906,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was prescription medicine.,medicine,medicine,It was medicine prescription., prescription medicine, medicine prescription,prescription,True,-17.87532615661621,-20.613801956176758,2.738475799560547,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was orthopedic medicine.,medicine,medicine,It was medicine orthopedic., orthopedic medicine, medicine orthopedic,orthopedic,False,-18.922182083129883,-23.924091339111328,5.001909255981445,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
There was a phone message.,message,message,There was a message phone., phone message, message phone,phone,True,-15.264507293701172,-17.189172744750977,1.9246654510498047,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
There was a computer message.,message,message,There was a message computer., computer message, message computer,computer,True,-17.85092544555664,-19.76106071472168,1.910135269165039,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
There was an urgent message.,message,message,There was an message urgent., urgent message, message urgent,urgent,False,-14.006912231445312,-25.2880859375,11.281173706054688,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a fungal mold.,mold,mold,It was a mold fungal., fungal mold, mold fungal,fungal,False,-17.633331298828125,-22.929405212402344,5.296073913574219,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a harmful mold.,mold,mold,It was a mold harmful., harmful mold, mold harmful,harmful,False,-22.216663360595703,-23.781538009643555,1.5648746490478516,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a rubber mold.,mold,mold,It was a mold rubber., rubber mold, mold rubber,rubber,True,-16.139610290527344,-21.014339447021484,4.874729156494141,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
She saw the cancerous mole.,mole,mole,She saw the mole cancerous., cancerous mole, mole cancerous,cancerous,False,-25.869274139404297,-31.989362716674805,6.120088577270508,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
She saw the raised mole.,mole,mole,She saw the mole raised., raised mole, mole raised,raised,False,-19.641010284423828,-19.93311309814453,0.2921028137207031,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
She saw the cute mole.,mole,mole,She saw the mole cute., cute mole, mole cute,cute,False,-19.942401885986328,-25.068584442138672,5.126182556152344,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He liked the rhythmic movement.,movement,movement,He liked the movement rhythmic., rhythmic movement, movement rhythmic,rhythmic,False,-16.45183753967285,-22.743253707885742,6.291416168212891,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He liked the graceful movement.,movement,movement,He liked the movement graceful., graceful movement, movement graceful,graceful,False,-17.79402732849121,-24.299278259277344,6.505250930786133,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He liked the feminist movement.,movement,movement,He liked the movement feminist., feminist movement, movement feminist,feminist,True,-14.58753776550293,-22.696640014648438,8.109102249145508,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a national newspaper.,newspaper,newspaper,It was a newspaper national., national newspaper, newspaper national,national,False,-13.908042907714844,-19.065170288085938,5.157127380371094,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a daily newspaper.,newspaper,newspaper,It was a newspaper daily., daily newspaper, newspaper daily,daily,False,-15.677753448486328,-18.07239532470703,2.394641876220703,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a faded newspaper.,newspaper,newspaper,It was a newspaper faded., faded newspaper, newspaper faded,faded,False,-19.682661056518555,-20.979286193847656,1.2966251373291016,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a juicy orange.,orange,orange,It was an orange juicy., juicy orange, orange juicy,juicy,False,-20.494768142700195,-19.149803161621094,-1.3449649810791016,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a ripe orange.,orange,orange,It was an orange ripe., ripe orange, orange ripe,ripe,False,-18.757444381713867,-18.201602935791016,-0.5558414459228516,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a bright orange.,orange,orange,It was an orange bright., bright orange, orange bright,bright,False,-13.712251663208008,-16.19953155517578,2.4872798919677734,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He saw the young page.,page,page,He saw the page young., young page, page young,young,False,-15.969488143920898,-22.152660369873047,6.183172225952148,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He saw the loyal page.,page,page,He saw the page loyal., loyal page, page loyal,loyal,False,-21.681171417236328,-24.539714813232422,2.8585433959960938,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He saw the blank page.,page,page,He saw the page blank., blank page, page blank,blank,False,-15.206716537475586,-18.846981048583984,3.6402645111083984,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a calloused palm.,palm,palm,It was a palm calloused., calloused palm, palm calloused,calloused,False,-30.505847930908203,-31.445297241210938,0.9394493103027344,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a wrinkled palm.,palm,palm,It was a palm wrinkled., wrinkled palm, palm wrinkled,wrinkled,False,-18.858495712280273,-21.421466827392578,2.5629711151123047,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a tropical palm.,palm,palm,It was a palm tropical., tropical palm, palm tropical,tropical,False,-18.841859817504883,-20.997793197631836,2.155933380126953,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a control panel.,panel,panel,It was a panel control., control panel, panel control,control,True,-13.92077350616455,-18.966033935546875,5.045260429382324,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was an instrument panel.,panel,panel,It was an panel instrument., instrument panel, panel instrument,instrument,False,-17.159414291381836,-27.667076110839844,10.507661819458008,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was an advisory panel.,panel,panel,It was an panel advisory., advisory panel, panel advisory,advisory,False,-13.882606506347656,-27.81478500366211,13.932178497314453,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a secret passage.,passage,passage,It was a passage secret., secret passage, passage secret,secret,False,-17.3599796295166,-23.835704803466797,6.475725173950195,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a narrow passage.,passage,passage,It was a passage narrow., narrow passage, passage narrow,narrow,False,-14.011411666870117,-20.468727111816406,6.457315444946289,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a literary passage.,passage,passage,It was a passage literary., literary passage, passage literary,literary,False,-17.39834976196289,-26.40008544921875,9.00173568725586,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a tasty perch.,perch,perch,It was a perch tasty., tasty perch, perch tasty,tasty,False,-24.126510620117188,-25.674793243408203,1.5482826232910156,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a freshwater perch.,perch,perch,It was a perch freshwater., freshwater perch, perch freshwater,freshwater,True,-23.961347579956055,-27.638683319091797,3.677335739135742,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a lofty perch.,perch,perch,It was a perch lofty., lofty perch, perch lofty,lofty,False,-25.214405059814453,-25.611080169677734,0.39667510986328125,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He saw the fast pitcher.,pitcher,pitcher,He saw the pitcher fast., fast pitcher, pitcher fast,fast,False,-20.465145111083984,-21.550954818725586,1.0858097076416016,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He saw the right-handed pitcher.,pitcher,pitcher,He saw the pitcher right-handed., right-handed pitcher, pitcher right-handed,right-handed,False,-20.88092613220215,-24.58037567138672,3.6994495391845703,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He saw the glass pitcher.,pitcher,pitcher,He saw the pitcher glass., glass pitcher, pitcher glass,glass,True,-18.103126525878906,-24.229063034057617,6.125936508178711,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a windy port.,port,port,It was a port windy., windy port, port windy,windy,False,-21.250722885131836,-23.284767150878906,2.0340442657470703,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a seaside port.,port,port,It was a port seaside., seaside port, port seaside,seaside,True,-20.681838989257812,-25.293867111206055,4.612028121948242,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a delicious port.,port,port,It was a port delicious., delicious port, port delicious,delicious,False,-18.389223098754883,-24.224933624267578,5.835710525512695,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He was in a distinguished position.,position,position,He was in a position distinguished., distinguished position, position distinguished,distinguished,False,-15.811456680297852,-21.35966682434082,5.548210144042969,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He was in a prominent position.,position,position,He was in a position prominent., prominent position, position prominent,prominent,False,-13.332797050476074,-20.506717681884766,7.173920631408691,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He was in a fetal position.,position,position,He was in a position fetal., fetal position, position fetal,fetal,False,-18.70439910888672,-22.160785675048828,3.4563865661621094,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a wooden post.,post,post,It was a post wooden., wooden post, post wooden,wooden,False,-17.732149124145508,-20.81800079345703,3.0858516693115234,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a fence post.,post,post,It was a post fence., fence post, post fence,fence,True,-18.155006408691406,-20.048786163330078,1.8937797546386719,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a teaching post.,post,post,It was a post teaching., teaching post, post teaching,teaching,True,-17.443851470947266,-17.046085357666016,-0.39776611328125,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He had the alcoholic punch.,punch,punch,He had the punch alcoholic., alcoholic punch, punch alcoholic,alcoholic,False,-19.13665771484375,-26.633380889892578,7.496723175048828,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He had the fruit punch.,punch,punch,He had the punch fruit., fruit punch, punch fruit,fruit,True,-19.637269973754883,-23.736339569091797,4.099069595336914,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He had the strongest punch.,punch,punch,He had the punch strongest., strongest punch, punch strongest,strongest,False,-17.45081329345703,-23.1760311126709,5.725217819213867,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
She had a brilliant pupil.,pupil,pupil,She had a pupil brilliant., brilliant pupil, pupil brilliant,brilliant,False,-16.032529830932617,-25.047435760498047,9.01490592956543,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
She had an interested pupil.,pupil,pupil,She had an pupil interested., interested pupil, pupil interested,interested,False,-19.959087371826172,-23.755752563476562,3.7966651916503906,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
She had a dilated pupil.,pupil,pupil,She had a pupil dilated., dilated pupil, pupil dilated,dilated,False,-19.50156021118164,-24.42307472229004,4.921514511108398,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
That was a loud racket.,racket,racket,That was a racket loud., loud racket, racket loud,loud,False,-17.095632553100586,-22.810501098632812,5.714868545532227,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
That was an annoying racket.,racket,racket,That was an racket annoying., annoying racket, racket annoying,annoying,False,-16.40079689025879,-27.898208618164062,11.497411727905273,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
That was a badminton racket.,racket,racket,That was a racket badminton., badminton racket, racket badminton,badminton,True,-29.236116409301758,-29.992582321166992,0.7564659118652344,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He liked electronic rock.,rock,rock,He liked rock electronic., electronic rock, rock electronic,electronic,False,-24.809345245361328,-23.7597713470459,-1.0495738983154297,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He liked alternative rock.,rock,rock,He liked rock alternative., alternative rock, rock alternative,alternative,False,-20.681419372558594,-24.690208435058594,4.0087890625,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He liked limestone rock.,rock,rock,He liked rock limestone., limestone rock, rock limestone,limestone,True,-23.38660430908203,-23.586734771728516,0.20013046264648438,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He saw the wise sage.,sage,sage,He saw the sage wise., wise sage, sage wise,wise,False,-19.704158782958984,-19.346195220947266,-0.35796356201171875,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He saw the renowned sage.,sage,sage,He saw the sage renowned., renowned sage, sage renowned,renowned,False,-21.28010368347168,-23.256820678710938,1.9767169952392578,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He saw the fragrant sage.,sage,sage,He saw the sage fragrant., fragrant sage, sage fragrant,fragrant,False,-21.810060501098633,-20.304370880126953,-1.5056896209716797,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a fish scale.,scale,scale,It was a scale fish., fish scale, scale fish,fish,True,-20.506216049194336,-23.796493530273438,3.2902774810791016,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a lizard scale.,scale,scale,It was a scale lizard., lizard scale, scale lizard,lizard,True,-25.465038299560547,-26.093643188476562,0.6286048889160156,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a music scale.,scale,scale,It was a scale music., music scale, scale music,music,True,-17.259794235229492,-20.588092803955078,3.328298568725586,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a touching scene.,scene,scene,It was a scene touching., touching scene, scene touching,touching,False,-17.080299377441406,-17.31068229675293,0.23038291931152344,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a well-acted scene.,scene,scene,It was a scene well-acted., well-acted scene, scene well-acted,well-acted,False,-22.82811737060547,-30.06983184814453,7.2417144775390625,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a nature scene.,scene,scene,It was a scene nature., nature scene, scene nature,nature,True,-17.028308868408203,-19.966548919677734,2.9382400512695312,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a gold seal.,seal,seal,It was a seal gold., gold seal, seal gold,gold,True,-15.188077926635742,-23.31720542907715,8.129127502441406,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a certified seal.,seal,seal,It was a seal certified., certified seal, seal certified,certified,False,-17.876117706298828,-22.351058959960938,4.474941253662109,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a circus seal.,seal,seal,It was a seal circus., circus seal, seal circus,circus,True,-22.030378341674805,-21.739883422851562,-0.2904949188232422,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He used the scotch tape.,tape,tape,He used the tape scotch., scotch tape, tape scotch,scotch,True,-23.953197479248047,-26.401649475097656,2.4484519958496094,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He used the double-sided tape.,tape,tape,He used the tape double-sided., double-sided tape, tape double-sided,double-sided,False,-18.936864852905273,-24.577167510986328,5.640302658081055,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He used the interview tape.,tape,tape,He used the tape interview., interview tape, tape interview,interview,True,-15.99243450164795,-19.845033645629883,3.8525991439819336,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a winter term.,term,term,It was a term winter., winter term, term winter,winter,True,-17.337020874023438,-22.78508949279785,5.448068618774414,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a fall term.,term,term,It was a term fall., fall term, term fall,fall,True,-17.8317928314209,-19.66225242614746,1.8304595947265625,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a legal term.,term,term,It was a term legal., legal term, term legal,legal,False,-15.203359603881836,-18.94513702392578,3.7417774200439453,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a clock tick.,tick,tick,It was a tick clock., clock tick, tick clock,clock,True,-17.62588119506836,-23.433712005615234,5.807830810546875,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was an audible tick.,tick,tick,It was an tick audible., audible tick, tick audible,audible,False,-17.43679428100586,-26.605575561523438,9.168781280517578,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a parasitic tick.,tick,tick,It was a tick parasitic., parasitic tick, tick parasitic,parasitic,False,-21.773212432861328,-24.077869415283203,2.304656982421875,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a generous tip.,tip,tip,It was a tip generous., generous tip, tip generous,generous,False,-19.385923385620117,-27.62761688232422,8.241693496704102,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a stingy tip.,tip,tip,It was a tip stingy., stingy tip, tip stingy,stingy,False,-23.98369598388672,-27.64952278137207,3.6658267974853516,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a pencil tip.,tip,tip,It was a tip pencil., pencil tip, tip pencil,pencil,True,-20.412128448486328,-21.765811920166016,1.3536834716796875,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
She liked the essay title.,title,title,She liked the title essay., essay title, title essay,essay,True,-18.199249267578125,-20.124923706054688,1.9256744384765625,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
She liked the poem title.,title,title,She liked the title poem., poem title, title poem,poem,True,-17.529876708984375,-19.85200309753418,2.3221263885498047,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
She liked the academic title.,title,title,She liked the title academic., academic title, title academic,academic,False,-16.235820770263672,-20.68926239013672,4.453441619873047,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a costly toll.,toll,toll,It was a toll costly., costly toll, toll costly,costly,False,-18.031448364257812,-25.755456924438477,7.724008560180664,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a road toll.,toll,toll,It was a toll road., road toll, toll road,road,True,-17.05354881286621,-16.463363647460938,-0.5901851654052734,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a loud toll.,toll,toll,It was a toll loud., loud toll, toll loud,loud,False,-17.229694366455078,-27.551958084106445,10.322263717651367,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
She saw the train tracks.,track,tracks,She saw the tracks train., train tracks, tracks train,train,True,-16.85532569885254,-21.11054039001465,4.255214691162109,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
She saw the trolley tracks.,track,tracks,She saw the tracks trolley., trolley tracks, tracks trolley,trolley,True,-24.017017364501953,-26.95494842529297,2.9379310607910156,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
She saw the moose tracks.,track,tracks,She saw the tracks moose., moose tracks, tracks moose,moose,False,-24.017208099365234,-25.221647262573242,1.2044391632080078,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was five yards.,yard,yards,It was yards five., five yards, yards five,five,True,-16.993173599243164,-27.12938690185547,10.136213302612305,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was ten yards.,yard,yards,It was yards ten., ten yards, yards ten,ten,True,-15.600424766540527,-26.752670288085938,11.15224552154541,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
They were big yards.,yard,yards,They were yards big., big yards, yards big,big,False,-18.034534454345703,-24.03367042541504,5.999135971069336,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a comedic act.,act,act,It was an act comedic., comedic act, act comedic,comedic,False,-16.6335391998291,-22.29311180114746,5.659572601318359,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He had a pending appeal.,appeal,appeal,He had an appeal pending., pending appeal, appeal pending,pending,False,-15.259651184082031,-13.637373924255371,-1.6222772598266602,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a polluted atmosphere.,atmosphere,atmosphere,It was an atmosphere polluted., polluted atmosphere, atmosphere polluted,polluted,False,-22.278501510620117,-23.422515869140625,1.1440143585205078,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a country band.,band,band,It was a band country., country band, band country,country,True,-15.670868873596191,-16.6580810546875,0.9872121810913086,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
There was a religious barrier.,barrier,barrier,There was a barrier religious., religious barrier, barrier religious,religious,False,-16.627471923828125,-22.6069393157959,5.979467391967773,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He saw a baseball bat.,bat,bat,He saw a bat baseball., baseball bat, bat baseball,baseball,True,-11.961371421813965,-23.218494415283203,11.257122993469238,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He saw the balance beam.,beam,beam,He saw the beam balance., balance beam, beam balance,balance,True,-19.791946411132812,-19.332557678222656,-0.45938873291015625,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
She had a writer's block.,block,block,She had a block writer's., writer's block, block writer's,writer,True,-24.53758430480957,-27.0734920501709,2.535907745361328,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He has royal blood.,blood,blood,He has blood royal., royal blood, blood royal,royal,False,-21.134490966796875,-24.638381958007812,3.5038909912109375,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was the school board.,board,board,It was the board school., school board, board school,school,True,-13.923422813415527,-18.74510383605957,4.821681022644043,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He had a leather-bound book.,book,book,He had a book leather-bound., leather-bound book, book leather-bound,leather-bound,False,-23.530200958251953,-27.570327758789062,4.040126800537109,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
They ate a lonely breakfast.,breakfast,breakfast,They ate a breakfast lonely., lonely breakfast, breakfast lonely,lonely,False,-14.468063354492188,-18.8785343170166,4.410470962524414,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was an island cape.,cape,cape,It was an cape island., island cape, cape island,island,True,-20.703182220458984,-25.254121780395508,4.550939559936523,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a criminal case.,case,case,It was a case criminal., criminal case, case criminal,criminal,False,-11.026473999023438,-17.04825210571289,6.021778106689453,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a primary cause.,cause,cause,It was a cause primary., primary cause, cause primary,primary,False,-13.669682502746582,-24.902433395385742,11.23275089263916,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a jail cell.,cell,cell,It was a cell jail., jail cell, cell jail,jail,True,-16.32413673400879,-19.64411163330078,3.319974899291992,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
She had a good-luck charm.,charm,charm,She had a charm good-luck., good-luck charm, charm good-luck,good-luck,False,-27.318317413330078,-32.354339599609375,5.036022186279297,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
They liked the pet chicken.,chicken,chicken,They liked the chicken pet., pet chicken, chicken pet,pet,True,-15.746810913085938,-16.92144203186035,1.174631118774414,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a stimulating class.,class,class,It was a class stimulating., stimulating class, class stimulating,stimulating,False,-21.9234619140625,-25.124736785888672,3.201274871826172,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a metal clip.,clip,clip,It was a clip metal., metal clip, clip metal,metal,True,-17.53009796142578,-20.425060272216797,2.8949623107910156,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a common cold.,cold,cold,It was a cold common., common cold, cold common,common,False,-14.506102561950684,-19.620121002197266,5.114018440246582,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a marble column.,column,column,It was a column marble., marble column, column marble,marble,True,-17.381805419921875,-22.311100006103516,4.929294586181641,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He liked the polite company.,company,company,He liked the company polite., polite company, company polite,polite,False,-17.676353454589844,-20.99734115600586,3.3209877014160156,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a traffic cone.,cone,cone,It was a cone traffic., traffic cone, cone traffic,traffic,True,-18.099544525146484,-24.98905372619629,6.889509201049805,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
He made a well-written contribution.,contribution,contribution,He made a contribution well-written., well-written contribution, contribution well-written,well-written,False,-21.06439971923828,-31.197574615478516,10.133174896240234,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
That was the correct count.,count,count,That was the count correct., correct count, count correct,correct,False,-15.064239501953125,-18.450637817382812,3.3863983154296875,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a collision course.,course,course,It was a course collision., collision course, course collision,collision,True,-16.73589324951172,-20.461803436279297,3.725910186767578,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was a historical date.,date,date,It was a date historical., historical date, date historical,historical,False,-14.818788528442383,-21.564266204833984,6.745477676391602,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
It was about college degrees.,degree,degrees,It was about degrees college., college degrees, degrees college,college,True,-17.122570037841797,-23.78773307800293,6.665163040161133,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
They liked the architectural design.,design,design,They liked the design architectural., architectural design, design architectural,architectural,False,-13.99023151397705,-20.362468719482422,6.372237205505371,14067712,EleutherAI/pythia-14m,step45000,seed1,1,45000
