word,sentence,disambiguating_word,string,mod_np,non_adjective,reversed_mod_np,reversed_sentence,revesred_and_modified_sentence,reversed_and_modified_sentence
scene,It was a nature scene.,nature,scene,nature scene,True,scene nature,It was a scene nature.,It was a scene nature.,It was a scene nature.
seal,It was a gold seal.,gold,seal,gold seal,True,seal gold,It was a seal gold.,It was a seal gold.,It was a seal gold.
seal,It was a certified seal.,certified,seal,certified seal,False,seal certified,It was a seal certified.,It was a seal certified.,It was a seal certified.
seal,It was a circus seal.,circus,seal,circus seal,True,seal circus,It was a seal circus.,It was a seal circus.,It was a seal circus.
tape,He used the scotch tape.,scotch,tape,scotch tape,True,tape scotch,He used the tape scotch.,He used the tape scotch.,He used the tape scotch.
tape,He used the double-sided tape.,double-sided,tape,double-sided tape,False,tape double-sided,He used the tape double-sided.,He used the tape double-sided.,He used the tape double-sided.
tape,He used the interview tape.,interview,tape,interview tape,True,tape interview,He used the tape interview.,He used the tape interview.,He used the tape interview.
term,It was a winter term.,winter,term,winter term,True,term winter,It was a term winter.,It was a term winter.,It was a term winter.
term,It was a fall term.,fall,term,fall term,True,term fall,It was a term fall.,It was a term fall.,It was a term fall.
term,It was a legal term.,legal,term,legal term,False,term legal,It was a term legal.,It was a term legal.,It was a term legal.
tick,It was a clock tick.,clock,tick,clock tick,True,tick clock,It was a tick clock.,It was a tick clock.,It was a tick clock.
tick,It was an audible tick.,audible,tick,audible tick,False,tick audible,It was an tick audible.,It was an tick audible.,It was an tick audible.
tick,It was a parasitic tick.,parasitic,tick,parasitic tick,False,tick parasitic,It was a tick parasitic.,It was a tick parasitic.,It was a tick parasitic.
tip,It was a generous tip.,generous,tip,generous tip,False,tip generous,It was a tip generous.,It was a tip generous.,It was a tip generous.
tip,It was a stingy tip.,stingy,tip,stingy tip,False,tip stingy,It was a tip stingy.,It was a tip stingy.,It was a tip stingy.
tip,It was a pencil tip.,pencil,tip,pencil tip,True,tip pencil,It was a tip pencil.,It was a tip pencil.,It was a tip pencil.
title,She liked the essay title.,essay,title,essay title,True,title essay,She liked the title essay.,She liked the title essay.,She liked the title essay.
title,She liked the poem title.,poem,title,poem title,True,title poem,She liked the title poem.,She liked the title poem.,She liked the title poem.
title,She liked the academic title.,academic,title,academic title,False,title academic,She liked the title academic.,She liked the title academic.,She liked the title academic.
toll,It was a costly toll.,costly,toll,costly toll,False,toll costly,It was a toll costly.,It was a toll costly.,It was a toll costly.
toll,It was a road toll.,road,toll,road toll,True,toll road,It was a toll road.,It was a toll road.,It was a toll road.
toll,It was a loud toll.,loud,toll,loud toll,False,toll loud,It was a toll loud.,It was a toll loud.,It was a toll loud.
track,She saw the train tracks.,train,tracks,train tracks,True,tracks train,She saw the tracks train.,She saw the tracks train.,She saw the tracks train.
track,She saw the trolley tracks.,trolley,tracks,trolley tracks,True,tracks trolley,She saw the tracks trolley.,She saw the tracks trolley.,She saw the tracks trolley.
track,She saw the moose tracks.,moose,tracks,moose tracks,False,tracks moose,She saw the tracks moose.,She saw the tracks moose.,She saw the tracks moose.
yard,It was five yards.,five,yards,five yards,True,yards five,It was yards five.,It was yards five.,It was yards five.
yard,It was ten yards.,ten,yards,ten yards,True,yards ten,It was yards ten.,It was yards ten.,It was yards ten.
yard,They were big yards.,big,yards,big yards,False,yards big,They were yards big.,They were yards big.,They were yards big.
act,It was a comedic act.,comedic,act,comedic act,False,act comedic,It was a act comedic.,It was an act comedic.,It was an act comedic.
appeal,He had a pending appeal.,pending,appeal,pending appeal,False,appeal pending,He had a appeal pending.,He had an appeal pending.,He had an appeal pending.
atmosphere,It was a polluted atmosphere.,polluted,atmosphere,polluted atmosphere,False,atmosphere polluted,It was a atmosphere polluted.,It was an atmosphere polluted.,It was an atmosphere polluted.
band,It was a country band.,country,band,country band,True,band country,It was a band country.,It was a band country.,It was a band country.
barrier,There was a religious barrier.,religious,barrier,religious barrier,False,barrier religious,There was a barrier religious.,There was a barrier religious.,There was a barrier religious.
bat,He saw a baseball bat.,baseball,bat,baseball bat,True,bat baseball,He saw a bat baseball.,He saw a bat baseball.,He saw a bat baseball.
beam,He saw the balance beam.,balance,beam,balance beam,True,beam balance,He saw the beam balance.,He saw the beam balance.,He saw the beam balance.
block,She had a writer's block.,writer,block,writer's block,True,block writer's,She had a block writer's.,She had a block writer's.,She had a block writer's.
blood,He has royal blood.,royal,blood,royal blood,False,blood royal,He has blood royal.,He has blood royal.,He has blood royal.
board,It was the school board.,school,board,school board,True,board school,It was the board school.,It was the board school.,It was the board school.
book,He had a leather-bound book.,leather-bound,book,leather-bound book,False,book leather-bound,He had a book leather-bound.,He had a book leather-bound.,He had a book leather-bound.
breakfast,They ate a lonely breakfast.,lonely,breakfast,lonely breakfast,False,breakfast lonely,They ate a breakfast lonely.,They ate a breakfast lonely.,They ate a breakfast lonely.
cape,It was an island cape.,island,cape,island cape,True,cape island,It was an cape island.,It was an cape island.,It was an cape island.
case,It was a criminal case.,criminal,case,criminal case,False,case criminal,It was a case criminal.,It was a case criminal.,It was a case criminal.
cause,It was a primary cause.,primary,cause,primary cause,False,cause primary,It was a cause primary.,It was a cause primary.,It was a cause primary.
cell,It was a jail cell.,jail,cell,jail cell,True,cell jail,It was a cell jail.,It was a cell jail.,It was a cell jail.
charm,She had a good-luck charm.,good-luck,charm,good-luck charm,False,charm good-luck,She had a charm good-luck.,She had a charm good-luck.,She had a charm good-luck.
chicken,They liked the pet chicken.,pet,chicken,pet chicken,True,chicken pet,They liked the chicken pet.,They liked the chicken pet.,They liked the chicken pet.
class,It was a stimulating class.,stimulating,class,stimulating class,False,class stimulating,It was a class stimulating.,It was a class stimulating.,It was a class stimulating.
clip,It was a metal clip.,metal,clip,metal clip,True,clip metal,It was a clip metal.,It was a clip metal.,It was a clip metal.
cold,It was a common cold.,common,cold,common cold,False,cold common,It was a cold common.,It was a cold common.,It was a cold common.
column,It was a marble column.,marble,column,marble column,True,column marble,It was a column marble.,It was a column marble.,It was a column marble.
company,He liked the polite company.,polite,company,polite company,False,company polite,He liked the company polite.,He liked the company polite.,He liked the company polite.
cone,It was a traffic cone.,traffic,cone,traffic cone,True,cone traffic,It was a cone traffic.,It was a cone traffic.,It was a cone traffic.
contribution,He made a well-written contribution.,well-written,contribution,well-written contribution,False,contribution well-written,He made a contribution well-written.,He made a contribution well-written.,He made a contribution well-written.
count,That was the correct count.,correct,count,correct count,False,count correct,That was the count correct.,That was the count correct.,That was the count correct.
course,It was a collision course.,collision,course,collision course,True,course collision,It was a course collision.,It was a course collision.,It was a course collision.
date,It was a historical date.,historical,date,historical date,False,date historical,It was a date historical.,It was a date historical.,It was a date historical.
degree,It was about college degrees.,college,degrees,college degrees,True,degrees college,It was about degrees college.,It was about degrees college.,It was about degrees college.
design,They liked the architectural design.,architectural,design,architectural design,False,design architectural,They liked the design architectural.,They liked the design architectural.,They liked the design architectural.
dinner,They liked the anniversary dinner.,anniversary,dinner,anniversary dinner,True,dinner anniversary,They liked the dinner anniversary.,They liked the dinner anniversary.,They liked the dinner anniversary.
dream,He had a career dream.,career,dream,career dream,True,dream career,He had a dream career.,He had a dream career.,He had a dream career.
drill,It was a battery-powered drill.,battery-powered,drill,battery-powered drill,False,drill battery-powered,It was a drill battery-powered.,It was a drill battery-powered.,It was a drill battery-powered.
examination,It was a physical examination.,physical,examination,physical examination,False,examination physical,It was a examination physical.,It was an examination physical.,It was an examination physical.
fan,They had an enthusiastic fan.,enthusiastic,fan,enthusiastic fan,False,fan enthusiastic,They had an fan enthusiastic.,They had an fan enthusiastic.,They had an fan enthusiastic.
file,She had a steel file.,steel,file,steel file,True,file steel,She had a file steel.,She had a file steel.,She had a file steel.
film,It was a plastic film.,plastic,film,plastic film,False,film plastic,It was a film plastic.,It was a film plastic.,It was a film plastic.
foundation,It was a concrete foundation.,concrete,foundation,concrete foundation,False,foundation concrete,It was a foundation concrete.,It was a foundation concrete.,It was a foundation concrete.
function,It was a business function.,business,function,business function,True,function business,It was a function business.,It was a function business.,It was a function business.
ground,He was on the parade ground.,parade,ground,parade ground,True,ground parade,He was on the ground parade.,He was on the ground parade.,He was on the ground parade.
guard,They liked the national guard.,national,guard,national guard,False,guard national,They liked the guard national.,They liked the guard national.,They liked the guard national.
guide,He had a friendly guide.,friendly,guide,friendly guide,False,guide friendly,He had a guide friendly.,He had a guide friendly.,He had a guide friendly.
home,It was a nursing home.,nursing,home,nursing home,True,home nursing,It was a home nursing.,It was a home nursing.,It was a home nursing.
intelligence,They had military intelligence.,military,intelligence,military intelligence,False,intelligence military,They had intelligence military.,They had intelligence military.,They had intelligence military.
issue,It was a special issue.,special,issue,special issue,False,issue special,It was a issue special.,It was an issue special.,It was an issue special.
jam,It was a paper jam.,paper,jam,paper jam,True,jam paper,It was a jam paper.,It was a jam paper.,It was a jam paper.
key,It was a backspace key.,backspace,key,backspace key,True,key backspace,It was a key backspace.,It was a key backspace.,It was a key backspace.
lamb,They liked the friendly lamb.,friendly,lamb,friendly lamb,False,lamb friendly,They liked the lamb friendly.,They liked the lamb friendly.,They liked the lamb friendly.
lock,She had door locks.,door,locks,door locks,True,locks door,She had locks door.,She had locks door.,She had locks door.
lunch,They liked the women's lunch.,women,lunch,women's lunch,True,lunch women's,They liked the lunch women's.,They liked the lunch women's.,They liked the lunch women's.
market,He liked the stock market.,stock,market,stock market,True,market stock,He liked the market stock.,He liked the market stock.,He liked the market stock.
match,It was a tennis match.,tennis,match,tennis match,True,match tennis,It was a match tennis.,It was a match tennis.,It was a match tennis.
medicine,It was veterinary medicine.,veterinary,medicine,veterinary medicine,False,medicine veterinary,It was medicine veterinary.,It was medicine veterinary.,It was medicine veterinary.
message,There was a clear message.,clear,message,clear message,False,message clear,There was a message clear.,There was a message clear.,There was a message clear.
mold,It was a clay mold.,clay,mold,clay mold,True,mold clay,It was a mold clay.,It was a mold clay.,It was a mold clay.
mole,She saw the fast mole.,fast,mole,fast mole,False,mole fast,She saw the mole fast.,She saw the mole fast.,She saw the mole fast.
movement,He liked the civil-rights movement.,civil-rights,movement,civil-rights movement,False,movement civil-rights,He liked the movement civil-rights.,He liked the movement civil-rights.,He liked the movement civil-rights.
newspaper,It was a shredded newspaper.,shredded,newspaper,shredded newspaper,False,newspaper shredded,It was a newspaper shredded.,It was a newspaper shredded.,It was a newspaper shredded.
orange,It was a reddish orange.,reddish,orange,reddish orange,False,orange reddish,It was a orange reddish.,It was an orange reddish.,It was an orange reddish.
page,He saw the ripped page.,ripped,page,ripped page,False,page ripped,He saw the page ripped.,He saw the page ripped.,He saw the page ripped.
palm,It was a tree palm.,tree,palm,tree palm,True,palm tree,It was a palm tree.,It was a palm tree.,It was a palm tree.
panel,It was a consumer panel.,consumer,panel,consumer panel,True,panel consumer,It was a panel consumer.,It was a panel consumer.,It was a panel consumer.
passage,It was a biblical passage.,biblical,passage,biblical passage,False,passage biblical,It was a passage biblical.,It was a passage biblical.,It was a passage biblical.
perch,It was a secure perch.,secure,perch,secure perch,False,perch secure,It was a perch secure.,It was a perch secure.,It was a perch secure.
pitcher,He saw the plastic pitcher.,plastic,pitcher,plastic pitcher,True,pitcher plastic,He saw the pitcher plastic.,He saw the pitcher plastic.,He saw the pitcher plastic.
port,It was a sweet port.,sweet,port,sweet port,False,port sweet,It was a port sweet.,It was a port sweet.,It was a port sweet.
position,He was in a yoga position.,yoga,position,yoga position,True,position yoga,He was in a position yoga.,He was in a position yoga.,He was in a position yoga.
post,It was a challenging post.,challenging,post,challenging post,False,post challenging,It was a post challenging.,It was a post challenging.,It was a post challenging.
punch,He had the quickest punch.,quickest,punch,quickest punch,False,punch quickest,He had the punch quickest.,He had the punch quickest.,He had the punch quickest.
pupil,She had a cloudy pupil.,cloudy,pupil,cloudy pupil,False,pupil cloudy,She had a pupil cloudy.,She had a pupil cloudy.,She had a pupil cloudy.
racket,That was a tennis racket.,tennis,racket,tennis racket,True,racket tennis,That was a racket tennis.,That was a racket tennis.,That was a racket tennis.
rock,He liked granite rock.,granite,rock,granite rock,True,rock granite,He liked rock granite.,He liked rock granite.,He liked rock granite.
sage,He saw the bushy sage.,bushy,sage,bushy sage,False,sage bushy,He saw the sage bushy.,He saw the sage bushy.,He saw the sage bushy.
scale,It was a major scale.,major,scale,major scale,False,scale major,It was a scale major.,It was a scale major.,It was a scale major.
scene,It was a panoramic scene.,panoramic,scene,panoramic scene,False,scene panoramic,It was a scene panoramic.,It was a scene panoramic.,It was a scene panoramic.
seal,It was a trained seal.,trained,seal,trained seal,False,seal trained,It was a seal trained.,It was a seal trained.,It was a seal trained.
tape,He used the video tape.,video,tape,video tape,True,tape video,He used the tape video.,He used the tape video.,He used the tape video.
term,It was a technical term.,technical,term,technical term,False,term technical,It was a term technical.,It was a term technical.,It was a term technical.
tick,It was a diseased tick.,diseased,tick,diseased tick,False,tick diseased,It was a tick diseased.,It was a tick diseased.,It was a tick diseased.
tip,It was a finger tip.,finger,tip,finger tip,True,tip finger,It was a tip finger.,It was a tip finger.,It was a tip finger.
title,She liked the professional title.,professional,title,professional title,False,title professional,She liked the title professional.,She liked the title professional.,She liked the title professional.
toll,It was a bell toll.,bell,toll,bell toll,True,toll bell,It was a toll bell.,It was a toll bell.,It was a toll bell.
track,She saw the snowshoe tracks.,snowshoe,tracks,snowshoe tracks,True,tracks snowshoe,She saw the tracks snowshoe.,She saw the tracks snowshoe.,She saw the tracks snowshoe.
yard,They were cluttered yards.,cluttered,yards,cluttered yards,False,yards cluttered,They were yards cluttered.,They were yards cluttered.,They were yards cluttered.
